name_book,avtor,rating,count_favourites,count_views,age_restriction,comments_count,publication_date,pages,price,target
Девочка из прошлого,Тала Тоцка,8781.0,32029,2406007,18+,4604,25.06.2024,209,149.0,8671
"Больше, чем ничего",Екатерина Юдина,6078.0,28012,1696307,18+,6128,16.06.2024,338,119.0,5869
Притворись моим,Эмилия Грин,4455.0,24566,1031993,18+,0,19.08.2024,186,129.0,4439
Развод. Предатели,Маргарита Дюжева,3563.0,19991,989755,0,3171,02.11.2024,58,0.0,3503
Выйду замуж за спасателя,Янка Рам,5854.0,20480,697773,18+,2725,20.10.2024,103,129.0,5014
Наша навсегда,Мария Зайцева,2636.0,13454,226702,18+,606,15.11.2024,39,0.0,2312
Почувствуй,Екатерина Юдина,3096.0,15291,422296,18+,1657,25.09.2024,131,119.0,3042
Поменяемся?,Алайна Салах,4263.0,11112,931743,18+,4700,14.08.2024,210,179.0,4179
Друг отца. Под запретом.,Джулия Ромуш,1906.0,12762,335508,18+,598,19.10.2024,57,0.0,1904
Девочка Бешеного,Джулия Ромуш,1645.0,13980,332707,18+,262,17.10.2024,73,0.0,1641
Любовь Демона,Дина Ареева,4630.0,16871,923486,18+,1946,01.08.2024,128,129.0,4572
Невинная для миллиардера,Татьяна Романская,4216.0,17975,1044832,18+,135,29.02.2024,209,199.0,4192
Изгнанная жена дракона или огород попаданки,Елена Солт,3290.0,20169,1382478,0,1808,26.05.2024,236,159.0,3134
Одержимость Дикого,Ая Кучер,1506.0,10013,164882,18+,331,08.11.2024,40,0.0,1504
Варвар. Его одержимость,Ая Кучер,3520.0,13317,395526,18+,1459,25.10.2024,80,139.0,3396
Роман с первым встречным,Маша Кужель,2983.0,12701,534857,18+,72,21.02.2024,155,199.0,2977
Цветочек Шаха,Джулия Ромуш,2811.0,17124,680932,18+,1144,30.09.2024,89,139.0,2803
Хозяйка драконьего замка,Белова Екатерина,5311.0,28539,3467992,0,4621,14.04.2024,325,129.0,5033
Тебя одну,Елена Тодорова,2908.0,11174,63702,18+,433,28.11.2024,39,0.0,2666
Хорошая девочка,Марина Кистяева,1510.0,7778,80320,18+,109,01.12.2024,72,129.0,1424
После развода. Срока давности нет,Екатерина Кариди,2292.0,12024,294446,0,1276,17.11.2024,41,0.0,2252
Развод. Любовь умирает в 50,Арина Арская,1540.0,10675,346969,0,1587,06.11.2024,53,0.0,1530
Моя непокорная травница,Стейси Амор,869.0,5012,135815,18+,199,15.01.2024,185,159.0,798
С тобой,Валерия Ангелос,1346.0,9751,189764,0,205,03.11.2024,44,0.0,1334
Баронесса. Эхо забытой цивилизации,Дарья Верескова,3982.0,13069,665925,0,3553,04.09.2024,454,119.0,3299
Развод. После твоей измены,Мария Устинова,2447.0,6525,758139,0,751,22.08.2023,224,149.0,2281
Наследник Буйного,Джулия Ромуш,2435.0,15981,917211,18+,780,01.06.2024,191,179.0,2365
Ненавижу любя,Валерия Ангелос,1682.0,8951,79746,18+,359,23.11.2024,31,0.0,1559
Изгнанная жена дракона или ферма попаданки,Елена Солт,2422.0,18195,1171616,0,1085,26.06.2024,193,119.0,2394
Ты – мое наказание,Наталья Юнина,2804.0,13976,342270,18+,889,29.10.2024,85,0.0,2445
Порочный незнакомец. Кто ты такой?,Мила Младова,1309.0,9718,240255,18+,115,21.10.2024,152,199.0,1307
Девять,Екатерина Юдина,828.0,5725,16647,18+,96,06.12.2024,39,79.0,770
Пациентка по межзвездной переписке,Мария Лунёва,2462.0,12210,691550,0,1362,14.06.2024,315,119.0,2412
"Давай, расплачивайся",Екатерина Юдина,1615.0,9470,99696,18+,280,20.11.2024,38,0.0,1425
Мой первый. Игрушка Зверя,Мила Дали,1540.0,9259,332067,18+,464,15.10.2024,133,0.0,1532
Псих. Его игрушка,Ая Кучер,1813.0,8632,111714,18+,272,13.11.2024,37,0.0,1803
Тайный подарок для миллиардера,Маша Кужель,2542.0,11620,468937,18+,62,04.07.2024,153,199.0,2536
Горец. Его любовь,Валерия Ангелос,2200.0,10137,243902,18+,546,07.11.2024,50,119.0,2152
Не дразни меня,Ольга Рузанова,1827.0,7849,125706,18+,447,13.11.2024,56,0.0,1691
Враги целуют жадно - 2,Людмила Сладкова,2846.0,14758,808259,18+,1313,11.03.2024,202,119.0,2674
Отец подруги. Навсегда твоя,Вероника Касс,1477.0,8403,310841,18+,537,08.10.2024,110,129.0,1467
Варвар. Одержимость,Рина Каримова,1871.0,9998,405841,18+,643,20.08.2024,117,119.0,1867
Ломая запреты,Сара Адам,1549.0,7020,454301,18+,1426,06.08.2024,166,119.0,1531
Прогульщик,Эмилия Грин,3586.0,21129,983073,0,1761,04.08.2024,203,0.0,3572
Измена. Мы (не) твои,Анна Арно,1002.0,7118,82884,18+,213,14.11.2024,26,0.0,1000
Обручимся? Влюблен без памяти,Вероника Лесневская,3029.0,16066,712436,0,1171,24.09.2024,113,119.0,2929
Босоногая Графиня,Марина Ирсева,2539.0,7509,226325,0,316,24.02.2023,154,153.0,2172
Хищные мужья для невезучей. Академия Псиоников,Ева Арманда,2335.0,14487,794706,18+,492,09.08.2024,152,129.0,2311
Жестокий развод,Диана Рымарь,2762.0,14078,1593081,0,3469,25.08.2024,195,119.0,2744
Развод. Я ухожу из твоей жизни,Даша Черничная,1368.0,7544,298026,18+,586,28.10.2024,66,0.0,1295
Невинная для Сурового,Валерия Ангелос,1112.0,7563,135744,18+,169,04.11.2024,44,0.0,1108
Право на сына,Елена Николаева,1521.0,6992,78021,18+,235,22.11.2024,22,0.0,1355
Развод. Слепая любовь,Марика Крамор,1392.0,7046,229767,0,412,04.11.2024,61,0.0,1372
Наследник для Буйного,Рина Каримова,1377.0,6834,135968,18+,380,15.11.2024,43,119.0,1345
Хасан. Его невинная проблема,Джулия Ромуш,2042.0,10909,743750,18+,836,29.06.2024,181,149.0,2042
Главарь. Моя в расплату,Джулия Ромуш,880.0,6558,44361,18+,73,22.11.2024,28,0.0,880
Попалась в жены. Миллионер из леса,Ксения Фави,2356.0,9784,355076,18+,494,17.10.2024,102,119.0,2308
Вторая жизнь доктора Лейлы,Адель Хайд,2168.0,12155,454010,0,893,21.10.2024,119,119.0,1958
Измена. Ты (не) сможешь без нас,Лада Зорина,687.0,5554,159723,0,182,11.11.2024,48,0.0,683
Неверный,Рина Каримова,873.0,6034,92209,0,147,22.11.2024,32,0.0,871
Контракт с миллиардером,Татьяна Романская,1750.0,12205,293297,18+,105,22.10.2024,164,199.0,1744
Однажды я развелась с монстром,Анна Шварц,1302.0,6069,55770,18+,351,22.11.2024,26,0.0,1145
Измена. О чём кричит тишина,Мария Владыкина,931.0,6146,167223,0,507,13.11.2024,48,0.0,925
Омега для Альфа Мужей,Ева Арманда,1645.0,10926,560559,18+,368,07.10.2024,80,119.0,1613
"Измена. Нас больше нет, предатель",Валерия Даль,1159.0,4951,92357,0,419,19.11.2024,44,0.0,1139
